number,value,datetime_start,datetime_complete,duration,params_feature_set_name,params_mlp_activation,params_mlp_alpha,params_mlp_batch_size,params_mlp_hidden_layer_sizes,params_mlp_learning_rate_init,params_mlp_tol,params_model_family,params_rf_bootstrap,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,user_attrs_cv_mae_mean,user_attrs_cv_r2_mean,user_attrs_cv_rmse_mean,user_attrs_cv_rmse_std,user_attrs_feature_list,user_attrs_feature_set_name,user_attrs_model_family,user_attrs_n_features,user_attrs_params_json,user_attrs_uses_current_city_crime_signal,state
0,12.834197776749619,2026-04-03 18:48:09.113236,2026-04-03 18:48:18.351472,0 days 00:00:09.238236,geo_only,tanh,0.0002607965659809582,64.0,"(128, 128)",0.0005407232133324001,5.4041038546473305e-05,mlp,,,,,,,10.609318824314595,0.28492258347481775,12.834197776749619,1.6447441908574403,lat | lon,geo_only,mlp,2.0,"{""activation"": ""tanh"", ""alpha"": 0.0002607965659809582, ""batch_size"": 64, ""hidden_layer_sizes"": [128, 128], ""learning_rate_init"": 0.0005407232133324001, ""tol"": 5.4041038546473305e-05}",0.0,COMPLETE
1,10.347233581552272,2026-04-03 18:48:18.352497,2026-04-03 18:48:21.978702,0 days 00:00:03.626205,all_features,relu,0.00021700394405050138,32.0,"(128, 64)",0.00021648036763001894,0.00010968217207529509,mlp,,,,,,,7.839028612752773,0.5253530523703811,10.347233581552272,0.5906307537850526,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_features,mlp,45.0,"{""activation"": ""relu"", ""alpha"": 0.00021700394405050138, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.00021648036763001894, ""tol"": 0.00010968217207529509}",1.0,COMPLETE
2,11.40778466893936,2026-04-03 18:48:21.979405,2026-04-03 18:48:23.611279,0 days 00:00:01.631874,geo_only,,,,,,,rf,False,20.0,0.9,2.0,9.0,900.0,9.056916746757416,0.43434270215255905,11.40778466893936,1.025082802283049,lat | lon,geo_only,rf,2.0,"{""bootstrap"": false, ""max_depth"": 20, ""max_features"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 9, ""n_estimators"": 900}",0.0,COMPLETE
3,11.165687511962016,2026-04-03 18:48:23.611974,2026-04-03 18:48:24.049011,0 days 00:00:00.437037,geo_macro,,,,,,,rf,False,12.0,0.7,2.0,4.0,200.0,8.599646981286421,0.45624628309041615,11.165687511962016,0.81848237071972,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,geo_macro,rf,11.0,"{""bootstrap"": false, ""max_depth"": 12, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 200}",0.0,COMPLETE
4,11.614747094681215,2026-04-03 18:48:24.049728,2026-04-03 18:48:24.620569,0 days 00:00:00.570841,geo_only,,,,,,,rf,True,20.0,0.7,4.0,5.0,200.0,9.598771423266893,0.4141828930759215,11.614747094681215,1.1078132754319445,lat | lon,geo_only,rf,2.0,"{""bootstrap"": true, ""max_depth"": 20, ""max_features"": 0.7, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 200}",0.0,COMPLETE
5,11.954550377430849,2026-04-03 18:48:24.621213,2026-04-03 18:48:30.545095,0 days 00:00:05.923882,geo_knn_density,relu,3.9761459571854064e-05,64.0,"(64,)",0.00026356962762498373,0.0002547052623339115,mlp,,,,,,,9.117380886303161,0.37056590419197166,11.954550377430849,1.039642632753841,lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city,geo_knn_density,mlp,28.0,"{""activation"": ""relu"", ""alpha"": 3.9761459571854064e-05, ""batch_size"": 64, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.00026356962762498373, ""tol"": 0.0002547052623339115}",0.0,COMPLETE
6,12.927889545261513,2026-04-03 18:48:30.545773,2026-04-03 18:48:34.973980,0 days 00:00:04.428207,geo_only,tanh,4.5009057333500464e-05,32.0,"(256, 128)",0.000940081579759252,0.00018391267498288997,mlp,,,,,,,10.72544577493423,0.27431966796867835,12.927889545261513,1.584297605719455,lat | lon,geo_only,mlp,2.0,"{""activation"": ""tanh"", ""alpha"": 4.5009057333500464e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [256, 128], ""learning_rate_init"": 0.000940081579759252, ""tol"": 0.00018391267498288997}",0.0,COMPLETE
7,10.58740095634349,2026-04-03 18:48:34.974730,2026-04-03 18:48:36.588964,0 days 00:00:01.614234,geo_macro,,,,,,,rf,True,,sqrt,2.0,8.0,600.0,8.548662351004143,0.5116208098943946,10.58740095634349,0.9990416720099793,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,geo_macro,rf,11.0,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 8, ""n_estimators"": 600}",0.0,COMPLETE
8,13.284465314567052,2026-04-03 18:48:36.589639,2026-04-03 18:48:39.209316,0 days 00:00:02.619677,geo_only,relu,1.6869073934881428e-05,32.0,"(128,)",0.0002901741425246832,0.00021232617602360494,mlp,,,,,,,10.814392870755942,0.2346898231067427,13.284465314567052,1.8402292050776201,lat | lon,geo_only,mlp,2.0,"{""activation"": ""relu"", ""alpha"": 1.6869073934881428e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.0002901741425246832, ""tol"": 0.00021232617602360494}",0.0,COMPLETE
9,10.80448583932476,2026-04-03 18:48:39.210456,2026-04-03 18:48:41.683973,0 days 00:00:02.473517,all_features,relu,4.5553392825311175e-05,64.0,"(128, 128)",0.0018794922982808447,0.00010122183035228781,mlp,,,,,,,8.085470200548043,0.49293144423314655,10.80448583932476,0.8845675835320068,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_features,mlp,45.0,"{""activation"": ""relu"", ""alpha"": 4.5553392825311175e-05, ""batch_size"": 64, ""hidden_layer_sizes"": [128, 128], ""learning_rate_init"": 0.0018794922982808447, ""tol"": 0.00010122183035228781}",1.0,COMPLETE
10,11.357942650031191,2026-04-03 18:48:41.684696,2026-04-03 18:48:47.831747,0 days 00:00:06.147051,all_features,relu,0.0035642802726830714,256.0,"(128, 64)",0.0002186528767626333,1.2052048118012934e-05,mlp,,,,,,,8.692970355563054,0.4209526907938816,11.357942650031191,1.3841138523539767,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_features,mlp,45.0,"{""activation"": ""relu"", ""alpha"": 0.0035642802726830714, ""batch_size"": 256, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.0002186528767626333, ""tol"": 1.2052048118012934e-05}",1.0,COMPLETE
11,9.262298950691239,2026-04-03 18:48:47.832437,2026-04-03 18:48:49.725952,0 days 00:00:01.893515,all_no_current_crime,,,,,,,rf,True,,sqrt,1.0,9.0,700.0,7.00725571139664,0.625620657069585,9.262298950691239,1.1644040206762278,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_no_current_crime,rf,44.0,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 9, ""n_estimators"": 700}",0.0,COMPLETE
12,9.282168159410631,2026-04-03 18:48:49.726596,2026-04-03 18:48:51.597550,0 days 00:00:01.870954,all_no_current_crime,,,,,,,rf,True,,sqrt,1.0,10.0,700.0,7.037605155962775,0.624100499831998,9.282168159410631,1.1269079139775362,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_no_current_crime,rf,44.0,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 700}",0.0,COMPLETE
13,9.282168159410633,2026-04-03 18:48:51.598197,2026-04-03 18:48:53.487405,0 days 00:00:01.889208,all_no_current_crime,,,,,,,rf,True,,sqrt,1.0,10.0,700.0,7.037605155962777,0.624100499831998,9.282168159410633,1.1269079139775355,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_no_current_crime,rf,44.0,"{""bootstrap"": true, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 700}",0.0,COMPLETE
14,9.307782093029392,2026-04-03 18:48:53.488078,2026-04-03 18:48:55.667202,0 days 00:00:02.179124,all_no_current_crime,,,,,,,rf,True,8.0,sqrt,1.0,7.0,800.0,7.086662406438952,0.6220502792305853,9.307782093029392,1.1303234244133569,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_no_current_crime,rf,44.0,"{""bootstrap"": true, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 7, ""n_estimators"": 800}",0.0,COMPLETE
15,9.526542525166988,2026-04-03 18:48:55.667860,2026-04-03 18:48:57.035314,0 days 00:00:01.367454,all_no_current_crime,,,,,,,rf,True,16.0,log2,5.0,10.0,500.0,7.34946867420804,0.6045257948857297,9.526542525166988,1.165802575919851,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_no_current_crime,rf,44.0,"{""bootstrap"": true, ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 500}",0.0,COMPLETE
16,9.116553625657343,2026-04-03 18:48:57.035969,2026-04-03 18:48:58.464499,0 days 00:00:01.428530,all_no_current_crime,,,,,,,rf,True,30.0,sqrt,1.0,2.0,500.0,6.800507675398973,0.6372715818304058,9.116553625657343,1.1569348089914444,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_no_current_crime,rf,44.0,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",0.0,COMPLETE
17,9.249263191017864,2026-04-03 18:48:58.465158,2026-04-03 18:48:59.578262,0 days 00:00:01.113104,all_no_current_crime,,,,,,,rf,True,30.0,sqrt,3.0,2.0,400.0,6.972026102191142,0.6263431150186503,9.249263191017864,1.1533850130940548,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_no_current_crime,rf,44.0,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 400}",0.0,COMPLETE
18,12.464880031864155,2026-04-03 18:48:59.578899,2026-04-03 18:49:01.033518,0 days 00:00:01.454619,geo_knn_density,,,,,,,rf,False,30.0,0.9,3.0,2.0,400.0,9.175493077085227,0.32187446529501307,12.464880031864155,1.4601973604501324,lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city,geo_knn_density,rf,28.0,"{""bootstrap"": false, ""max_depth"": 30, ""max_features"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 400}",0.0,COMPLETE
19,9.327322277505042,2026-04-03 18:49:01.034160,2026-04-03 18:49:02.145290,0 days 00:00:01.111130,all_no_current_crime,,,,,,,rf,True,30.0,log2,3.0,2.0,400.0,7.08131179255812,0.6207131471925581,9.327322277505042,1.179679130045474,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_no_current_crime,rf,44.0,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": ""log2"", ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 400}",0.0,COMPLETE
20,9.364767532156739,2026-04-03 18:49:02.145935,2026-04-03 18:49:03.278428,0 days 00:00:01.132493,all_no_current_crime,,,,,,,rf,True,30.0,sqrt,4.0,4.0,400.0,7.125467951043386,0.6171817484659469,9.364767532156739,1.187637651531092,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_no_current_crime,rf,44.0,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 4, ""n_estimators"": 400}",0.0,COMPLETE
21,9.08062029171414,2026-04-03 18:49:03.279044,2026-04-03 18:49:04.703778,0 days 00:00:01.424734,all_no_current_crime,,,,,,,rf,True,30.0,sqrt,1.0,3.0,500.0,6.781521667386995,0.6396069487501866,9.08062029171414,1.101389982293973,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_no_current_crime,rf,44.0,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""n_estimators"": 500}",0.0,COMPLETE
22,9.190472456230822,2026-04-03 18:49:04.704431,2026-04-03 18:49:06.100498,0 days 00:00:01.396067,all_no_current_crime,,,,,,,rf,True,30.0,sqrt,2.0,3.0,500.0,6.896349903444317,0.6314657695082815,9.190472456230822,1.1490565487426043,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists,all_no_current_crime,rf,44.0,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 3, ""n_estimators"": 500}",0.0,COMPLETE
